seat_num,Area,Points
1390,207076.5,"[(180, 412), (188, 431), (222, 449), (226, 468), (301, 473), (304, 484), (345, 488), (365, 562), (360, 599), (826, 623), (1061, 507), (1134, 461), (1162, 434), (1209, 394), (1209, 364), (1190, 352), (1171, 348), (1001, 356), (892, 344), (789, 331), (691, 329), (658, 312)]"
1409,251342.0,"[(97, 334), (110, 406), (177, 498), (247, 564), (309, 623), (388, 676), (411, 668), (427, 637), (467, 635), (473, 625), (1020, 647), (1011, 590), (1040, 527), (1038, 514), (1081, 518), (1089, 469), (1101, 455), (659, 313), (346, 331)]"
1569,206998.0,"[(337, 391), (164, 473), (107, 496), (18, 517), (13, 588), (224, 600), (455, 613), (666, 615), (806, 610), (933, 611), (976, 608), (990, 597), (1024, 594), (1201, 595), (1210, 593), (1207, 527), (1116, 510), (1040, 463), (917, 395)]"
957,76947.5,"[(423, 511), (264, 522), (167, 529), (91, 532), (10, 540), (8, 553), (133, 566), (309, 585), (410, 589), (570, 607), (716, 603), (856, 610), (976, 610), (1049, 614), (1164, 618), (1201, 618), (1201, 592), (1110, 575), (1071, 570), (950, 537), (912, 526)]"
201,110023.5,"[(155, 496), (136, 524), (116, 552), (38, 582), (14, 584), (14, 626), (135, 616), (272, 610), (627, 594), (780, 588), (927, 574), (1033, 567), (1141, 552), (1203, 543), (1206, 515), (927, 501), (809, 489), (730, 472)]"
177,101723.0,"[(157, 542), (103, 603), (7, 624), (12, 660), (317, 648), (452, 641), (687, 634), (838, 621), (987, 607), (1083, 598), (1164, 585), (1200, 582), (1202, 564), (1112, 554), (1011, 550), (763, 526), (716, 524)]"
2471,254894.5,"[(44, 508), (421, 575), (717, 631), (975, 678), (1106, 704), (1199, 719), (1200, 516), (1138, 479), (1069, 433), (1005, 402), (927, 363), (891, 341), (863, 328), (831, 326), (736, 344), (657, 351), (520, 363), (437, 365), (324, 374), (314, 371)]"
1813,197250.0,"[(227, 422), (241, 439), (221, 543), (358, 557), (494, 575), (620, 582), (810, 596), (878, 593), (938, 605), (1059, 548), (1097, 515), (1136, 485), (1173, 456), (1193, 430), (1214, 417), (1212, 400), (1178, 369), (996, 378), (906, 361), (838, 351), (713, 315), (680, 310)]"
2498,225089.0,"[(202, 384), (56, 574), (226, 583), (376, 600), (565, 599), (688, 609), (895, 621), (999, 621), (1074, 632), (1137, 634), (1197, 634), (1196, 581), (1105, 525), (1018, 477), (936, 428), (901, 406), (854, 385), (806, 367), (707, 326), (684, 318), (651, 310), (593, 345)]"
2103,223935.5,"[(483, 314), (335, 365), (270, 391), (211, 409), (169, 415), (122, 428), (104, 430), (30, 442), (19, 437), (9, 486), (109, 531), (186, 553), (342, 604), (477, 634), (533, 652), (740, 606), (900, 575), (969, 559), (1061, 531), (1096, 524), (1086, 493), (1061, 411)]"
